index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
12,546, ,402,中央电视台纪录频道,AVS+,DRA,开锁,513,660,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,546, ,403,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,546, ,404,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,546, , ,江西卫视,AVS+,DRA,开锁, , ,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,546, , ,上饶新闻综合,AVS+,DRA,开锁, , ,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,610, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,余干县广播发射台, ,余江寻星者2018-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,610, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,余干县广播发射台, ,余江寻星者2018-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,610, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,余干县广播发射台, ,余江寻星者2018-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,610, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,余干县广播发射台, ,余江寻星者2018-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,610, , ,江西卫视,AVS+,DRA,开锁,451,452,余干县广播发射台, ,余江寻星者2018-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,610, , ,上饶新闻综合,AVS+,DRA,开锁,461,462,余干县广播发射台, ,余江寻星者2018-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,610, , ,上饶新闻综合,MPEG-2,MPEG-1,开锁,491,492,余干县广播发射台, ,余江寻星者2018-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,610, , ,余干综合,AVS+,DRA,开锁,471,472,余干县广播发射台, ,余江寻星者2018-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,610, , ,余干综合,MPEG-2,MPEG-1,开锁,36,37,余干县广播发射台, ,余江寻星者2018-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,634, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,634, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,634, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,634, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,634, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,634, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,634, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,634, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,李杨百胜2022-08-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
