index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
44,658, , ,辽宁卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,658, , ,江西卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,658, , ,山西卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,658, , ,山东卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,658, , ,吉林卫视,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,674, , ,中央电视台综艺频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,674, , ,中央电视台体育频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,674, , ,中央电视台综合频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
52,674, , ,中央电视台音乐频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
53,674, , ,中央电视台新闻频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
54,674, , ,汉语频道,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
55,674, , ,卡酷动画,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
56,674, , ,CHC动作电影,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
57,674, , ,地方节目,MPEG-4,MPEG-1, , , , , ,蓝色的吻 2017-02-24, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
